dt,weather,visibility,pop,dt_txt,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.sea_level,main.grnd_level,main.humidity,main.temp_kf,clouds.all,wind.speed,wind.deg,wind.gust,sys.pod,rain.3h,weather_desc
1730484000,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",10000,0.71,2024-11-01 18:00:00,295.99,296.5,295.99,298.76,1018,1018,994,83,-2.77,100,2.43,86,4.31,d,,overcast clouds
1730494800,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",10000,1.0,2024-11-01 21:00:00,297.23,297.7,297.23,299.7,1017,1017,991,77,-2.47,100,0.94,126,2.07,d,0.84,light rain
1730505600,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000,1.0,2024-11-02 00:00:00,297.34,297.88,297.34,298.02,1016,1016,991,79,-0.68,100,2.77,89,6.63,n,0.73,light rain
1730516400,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000,0.53,2024-11-02 03:00:00,296.86,297.45,296.86,296.86,1017,1017,993,83,0.0,97,2.96,124,8.58,n,0.31,light rain
1730527200,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",10000,1.0,2024-11-02 06:00:00,295.64,296.35,295.64,295.64,1016,1016,992,92,0.0,99,3.13,154,9.44,n,5.37,moderate rain
1730538000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,0.23,2024-11-02 09:00:00,294.79,295.52,294.79,294.79,1015,1015,991,96,0.0,83,2.85,120,8.86,n,,broken clouds
1730548800,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",1646,0.11,2024-11-02 12:00:00,294.87,295.6,294.87,294.87,1016,1016,991,96,0.0,92,3.1,124,8.93,n,,overcast clouds
1730559600,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",9328,0.2,2024-11-02 15:00:00,295.97,296.74,295.97,295.97,1016,1016,992,93,0.0,100,4.4,143,9.85,d,0.13,light rain
1730570400,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",10000,1.0,2024-11-02 18:00:00,300.57,302.43,300.57,300.57,1014,1014,990,67,0.0,91,6.22,167,8.99,d,1.44,light rain
1730581200,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",10000,1.0,2024-11-02 21:00:00,299.65,299.65,299.65,299.65,1012,1012,988,69,0.0,96,5.04,156,9.5,d,1.02,light rain
1730592000,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000,1.0,2024-11-03 00:00:00,298.02,298.52,298.02,298.02,1012,1012,988,75,0.0,94,6.27,147,12.03,n,0.26,light rain
1730602800,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,0.0,2024-11-03 03:00:00,296.41,296.93,296.41,296.41,1013,1013,989,82,0.0,57,5.82,151,11.74,n,,broken clouds
1730613600,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",10000,0.0,2024-11-03 06:00:00,295.24,295.78,295.24,295.24,1012,1012,988,87,0.0,46,4.66,151,12.44,n,,scattered clouds
1730624400,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,0.0,2024-11-03 09:00:00,295.19,295.83,295.19,295.19,1011,1011,987,91,0.0,66,4.97,154,12.23,n,,broken clouds
1730635200,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000,0.2,2024-11-03 12:00:00,296.38,296.93,296.38,296.38,1010,1010,986,83,0.0,83,5.18,167,10.57,n,0.12,light rain
1730646000,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",10000,0.4,2024-11-03 15:00:00,297.76,298.42,297.76,297.76,1010,1010,986,82,0.0,60,6.5,162,11.64,d,0.3,light rain
1730656800,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",10000,0.2,2024-11-03 18:00:00,302.8,304.14,302.8,302.8,1007,1007,984,53,0.0,56,8.63,164,12.42,d,0.25,light rain
1730667600,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",10000,0.0,2024-11-03 21:00:00,304.25,304.05,304.25,304.25,1005,1005,981,39,0.0,33,7.56,175,12.34,d,,scattered clouds
1730678400,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",10000,0.0,2024-11-04 00:00:00,300.84,301.6,300.84,300.84,1005,1005,982,54,0.0,33,7.76,166,12.24,n,,scattered clouds
1730689200,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",10000,0.0,2024-11-04 03:00:00,297.6,298.16,297.6,297.6,1007,1007,983,79,0.0,27,7.3,153,15.21,n,,scattered clouds
1730700000,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",10000,0.0,2024-11-04 06:00:00,296.27,296.78,296.27,296.27,1007,1007,983,82,0.0,40,6.46,169,13.92,n,,scattered clouds
1730710800,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000,0.0,2024-11-04 09:00:00,296.54,297.18,296.54,296.54,1006,1006,982,86,0.0,100,6.74,163,14.16,n,,overcast clouds
1730721600,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000,0.2,2024-11-04 12:00:00,297.02,297.68,297.02,297.02,1006,1006,983,85,0.0,99,7.07,175,14.73,n,0.25,light rain
1730732400,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",10000,0.26,2024-11-04 15:00:00,298.1,298.74,298.1,298.1,1007,1007,983,80,0.0,73,7.37,171,14.16,d,0.12,light rain
1730743200,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",10000,1.0,2024-11-04 18:00:00,300.86,303.03,300.86,300.86,1006,1006,983,68,0.0,74,8.06,189,13.42,d,1.44,light rain
1730754000,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",10000,1.0,2024-11-04 21:00:00,299.19,299.19,299.19,299.19,1005,1005,982,75,0.0,91,4.81,202,9.94,d,1.68,light rain
1730764800,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000,1.0,2024-11-05 00:00:00,297.67,298.19,297.67,297.67,1007,1007,983,77,0.0,47,2.52,246,5.51,n,1.5,light rain
1730775600,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000,0.32,2024-11-05 03:00:00,295.08,294.79,295.08,295.08,1010,1010,986,56,0.0,3,2.38,335,7.21,n,0.1,light rain
1730786400,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",10000,0.03,2024-11-05 06:00:00,293.94,293.28,293.94,293.94,1011,1011,987,46,0.0,28,1.99,315,7.82,n,,scattered clouds
1730797200,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",10000,0.0,2024-11-05 09:00:00,294.03,293.01,294.03,294.03,1012,1012,988,32,0.0,43,4.11,325,9.98,n,,scattered clouds
1730808000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,0.0,2024-11-05 12:00:00,290.65,289.63,290.65,290.65,1015,1015,990,45,0.0,60,5.35,349,11.55,n,,broken clouds
